Opponent,TOT,SOLO,AST,SACK,STF,STFYDS,FF,FR,KB,INT,YDS,AVG,TD,LNG,PD,Player Name
vs OAK,5,5,0,0,0,0,0,0,0,0,0,0.0,0,0,0,Damarri Mathis
vs WAS,6,6,0,0,0,1,0,0,0,0,0,0.0,0,0,0,Damarri Mathis
