Group,TOT,SOLO,AST,SACK,STF,STFYDS,FF,FR,KB,INT,YDS,AVG,TD,LNG,PD,Player Name
vs AFC,10,3,7,0,0,0,0,0,0,0,0,0.0,0,0,0,Josey Jewell
vs NFC,9,7,2,0,0,0,0,0,0,0,0,0.0,0,0,1,Josey Jewell
vs Div,6,1,5,0,0,0,0,0,0,0,0,0.0,0,0,0,Josey Jewell
