Close,TOT,SOLO,AST,SACK,STF,STFYDS,FF,FR,KB,INT,YDS,AVG,TD,LNG,PD,Player Name
"4th QTR, +/-7",4,3,1,0,0,0,0,0,0,0,0,0.0,0,0,0,Josey Jewell
Last 2 Min. Half,3,3,0,0,0,0,0,0,0,0,0,0.0,0,0,0,Josey Jewell
