split,TOT,SOLO,AST,SACK,STF,STFYDS,FF,FR,KB,INT,YDS,AVG,TD,LNG,PD,Player Name
All Splits,19,10,9,0,0,0,0,0,0,0,0,0.0,0,0,1,Josey Jewell
Home,15,8,7,0,0,0,0,0,0,0,0,0.0,0,0,1,Josey Jewell
Away,4,2,2,0,0,0,0,0,0,0,0,0.0,0,0,0,Josey Jewell
