Group,TOT,SOLO,AST,SACK,STF,STFYDS,FF,FR,KB,INT,YDS,AVG,TD,LNG,PD,Player Name
vs AFC,3,2,1,0,0,0,0,0,0,0,0,0.0,0,0,0,D.J. Jones
vs NFC,1,0,1,0,0,0,0,0,0,0,0,0.0,0,0,0,D.J. Jones
vs Div,3,2,1,0,0,0,0,0,0,0,0,0.0,0,0,0,D.J. Jones
