Pt Diff,TOT,SOLO,AST,SACK,STF,STFYDS,FF,FR,KB,INT,YDS,AVG,TD,LNG,PD,Player Name
Ahead,3,1,2,0,0,0,0,0,0,0,0,0.0,0,0,1,Randy Gregory
Behind,2,1,1,0,1,3,0,0,0,0,0,0.0,0,0,0,Randy Gregory
Tied,1,1,0,1,0,0,0,0,0,0,0,0.0,0,0,0,Randy Gregory
