split,TOT,SOLO,AST,SACK,STF,STFYDS,FF,FR,KB,INT,YDS,AVG,TD,LNG,PD,Player Name
All Splits,2,1,1,0,0,0,0,0,0,0,0,0.0,0,0,0,Delarrin Turner-Yell
Home,2,1,1,0,0,0,0,0,0,0,0,0.0,0,0,0,Delarrin Turner-Yell
