Field Position,REC,YDS,AVG,TD,LNG,CAR,YDS,AVG,TD,LNG,FUM,LST,Player Name
Own 1-20,0,0,0.0,0,0,0,0,0.0,0,0,0,0,Jerry Jeudy
Own 21-50,2,18,9.0,0,11,0,0,0.0,0,0,0,0,Jerry Jeudy
Opp 49-20,1,7,7.0,0,7,0,0,0.0,0,0,0,0,Jerry Jeudy
