split,REC,YDS,AVG,TD,LNG,CAR,YDS,AVG,TD,LNG,FUM,LST,Player Name
All Splits,3,25,8.3,0,11,0,0,0.0,0,0,0,0,Jerry Jeudy
Home,3,25,8.3,0,11,0,0,0.0,0,0,0,0,Jerry Jeudy
