Group,TOT,SOLO,AST,SACK,STF,STFYDS,FF,FR,KB,INT,YDS,AVG,TD,LNG,PD,Player Name
vs AFC,20,12,8,4.5,4,4,0,0,0,1,-6,-6.0,0,1,2,Baron Browning
vs NFC,4,2,2,0.5,1,8,0,0,0,0,0,0.0,0,0,0,Baron Browning
vs Div,13,9,4,2,3,2,0,0,0,1,-6,-6.0,0,1,2,Baron Browning
