Field Position,TOT,SOLO,AST,SACK,STF,STFYDS,FF,FR,KB,INT,YDS,AVG,TD,LNG,PD,Player Name
Own 1-20,2,1,1,1,0,0,0,0,0,0,0,0.0,0,0,1,Baron Browning
Own 21-50,8,5,3,1.5,2,9,0,0,0,1,-6,-6.0,0,-6,1,Baron Browning
Opp 49-20,13,8,5,2,2,3,0,0,0,0,0,0.0,0,0,0,Baron Browning
Opp 19-Goal,1,0,1,0.5,0,0,0,0,0,0,0,0.0,0,0,0,Baron Browning
