Surface,TOT,SOLO,AST,SACK,STF,STFYDS,FF,FR,KB,INT,YDS,AVG,TD,LNG,PD,Player Name
Grass,19,9,10,4,3,3,0,0,0,0,0,0.0,0,0,0,Baron Browning
Turf,5,5,0,1,2,9,0,0,0,1,-6,-6.0,0,1,2,Baron Browning
