Depth Chart,TOT,SOLO,AST,SACK,STF,STFYDS,FF,FR,KB,INT,YDS,AVG,TD,LNG,PD,Player Name
As Starter,13,7,6,2.5,4,2,0,0,0,1,-6,-6.0,0,1,2,Baron Browning
As Sub,11,7,4,2.5,1,10,0,0,0,0,0,0.0,0,0,0,Baron Browning
