Opponent,TOT,SOLO,AST,SACK,STF,STFYDS,FF,FR,KB,INT,YDS,AVG,TD,LNG,PD,Player Name
vs ARI,1,0,1,0.5,0,0,0,0,0,0,0,0.0,0,0,0,Baron Browning
vs BAL,2,1,1,1,0,0,0,0,0,0,0,0.0,0,0,0,Baron Browning
vs CAR,1,0,1,0,0,0,0,0,0,0,0,0.0,0,0,0,Baron Browning
vs IND,5,2,3,1.5,1,2,0,0,0,0,0,0.0,0,0,0,Baron Browning
vs KC,1,0,1,0,0,0,0,0,0,0,0,0.0,0,0,0,Baron Browning
vs LAC,6,6,0,2,1,1,0,0,0,1,-6,-6.0,0,1,2,Baron Browning
vs LAR,1,1,0,0,1,0,0,0,0,0,0,0.0,0,0,0,Baron Browning
vs OAK,6,3,3,0,2,1,0,0,0,0,0,0.0,0,0,0,Baron Browning
vs SEA,1,1,0,0,0,8,0,0,0,0,0,0.0,0,0,0,Baron Browning
