Opponent,REC,YDS,AVG,TD,LNG,CAR,YDS,AVG,TD,LNG,FUM,LST,Player Name
vs OAK,2,9,4.5,0,5,0,0,0.0,0,0,0,0,Marvin Mims Jr.
vs WAS,2,113,56.5,1,60,2,10,5.0,0,8,0,0,Marvin Mims Jr.
