Group,TOT,SOLO,AST,SACK,STF,STFYDS,FF,FR,KB,INT,YDS,AVG,TD,LNG,PD,Player Name
vs AFC,10,6,4,0,0.5,0,0,0,0,0,0,0.0,0,0,0,Jonathon Cooper
vs NFC,8,3,5,2,0,0,1,0,0,0,0,0.0,0,0,0,Jonathon Cooper
vs Div,3,2,1,0,0,0,0,0,0,0,0,0.0,0,0,0,Jonathon Cooper
