split,TOT,SOLO,AST,SACK,STF,STFYDS,FF,FR,KB,INT,YDS,AVG,TD,LNG,PD,Player Name
All Splits,18,9,9,2,0.5,0,1,0,0,0,0,0.0,0,0,0,Jonathon Cooper
Home,11,5,6,2,0,0,1,0,0,0,0,0.0,0,0,0,Jonathon Cooper
Away,7,4,3,0,0.5,0,0,0,0,0,0,0.0,0,0,0,Jonathon Cooper
