Group,REC,YDS,AVG,TD,LNG,CAR,YDS,AVG,TD,LNG,FUM,LST,Player Name
vs AFC,12,123,10.3,2,25,0,0,0.0,0,0,2,2,Courtland Sutton
vs NFC,5,66,13.2,0,21,0,0,0.0,0,0,0,0,Courtland Sutton
vs Div,4,32,8.0,1,15,0,0,0.0,0,0,0,0,Courtland Sutton
