Pt Diff,REC,YDS,AVG,TD,LNG,CAR,YDS,AVG,TD,LNG,FUM,LST,Player Name
Behind,15,172,11.5,2,25,0,0,0.0,0,0,2,2,Courtland Sutton
Tied,2,17,8.5,0,13,0,0,0.0,0,0,0,0,Courtland Sutton
