Opponent,REC,YDS,AVG,TD,LNG,CAR,YDS,AVG,TD,LNG,FUM,LST,Player Name
vs MIA,8,91,11.4,1,25,0,0,0.0,0,0,2,2,Courtland Sutton
vs OAK,4,32,8.0,1,15,0,0,0.0,0,0,0,0,Courtland Sutton
vs WAS,5,66,13.2,0,21,0,0,0.0,0,0,0,0,Courtland Sutton
