Field Position,REC,YDS,AVG,TD,LNG,CAR,YDS,AVG,TD,LNG,FUM,LST,Player Name
Own 1-20,1,12,12.0,0,12,0,0,0.0,0,0,0,0,Courtland Sutton
Own 21-50,6,82,13.7,0,21,0,0,0.0,0,0,1,1,Courtland Sutton
Opp 49-20,7,74,10.6,0,25,0,0,0.0,0,0,1,1,Courtland Sutton
Opp 19-Goal,3,21,7.0,2,12,0,0,0.0,0,0,0,0,Courtland Sutton
