split,TOT,SOLO,AST,SACK,STF,STFYDS,FF,FR,KB,INT,YDS,AVG,TD,LNG,PD,Player Name
All Splits,22,11,11,0,1,1,2,0,0,0,0,0.0,0,0,1,P.J. Locke
Home,10,5,5,0,0,0,1,0,0,0,0,0.0,0,0,0,P.J. Locke
Away,12,6,6,0,1,1,1,0,0,0,0,0.0,0,0,1,P.J. Locke
