Month,TOT,SOLO,AST,SACK,STF,STFYDS,FF,FR,KB,INT,YDS,AVG,TD,LNG,PD,Player Name
September,5,3,2,0,0,0,1,0,0,0,0,0.0,0,0,0,P.J. Locke
October,2,1,1,0,0,0,0,0,0,0,0,0.0,0,0,0,P.J. Locke
November,9,5,4,0,1,1,1,0,0,0,0,0.0,0,0,1,P.J. Locke
December,5,2,3,0,0,0,0,0,0,0,0,0.0,0,0,0,P.J. Locke
January,1,0,1,0,0,0,0,0,0,0,0,0.0,0,0,0,P.J. Locke
