Pt Diff,TOT,SOLO,AST,SACK,STF,STFYDS,FF,FR,KB,INT,YDS,AVG,TD,LNG,PD,Player Name
Ahead,4,3,1,0,0,0,1,0,0,0,0,0.0,0,0,1,P.J. Locke
Behind,5,3,2,0,1,1,0,0,0,0,0,0.0,0,0,0,P.J. Locke
Tied,1,1,0,0,0,0,1,0,0,0,0,0.0,0,0,0,P.J. Locke
