Season Games,TOT,SOLO,AST,SACK,STF,STFYDS,FF,FR,KB,INT,YDS,AVG,TD,LNG,PD,Player Name
1-8,7,4,3,0,0,0,1,0,0,0,0,0.0,0,0,0,P.J. Locke
9-16,15,7,8,0,1,1,1,0,0,0,0,0.0,0,0,1,P.J. Locke
