Surface,TOT,SOLO,AST,SACK,STF,STFYDS,FF,FR,KB,INT,YDS,AVG,TD,LNG,PD,Player Name
Grass,20,11,9,0,1,1,2,0,0,0,0,0.0,0,0,1,P.J. Locke
Turf,2,0,2,0,0,0,0,0,0,0,0,0.0,0,0,0,P.J. Locke
