Close,TOT,SOLO,AST,SACK,STF,STFYDS,FF,FR,KB,INT,YDS,AVG,TD,LNG,PD,Player Name
"4th QTR, +/-7",4,2,2,0,0,0,1,0,0,0,0,0.0,0,0,0,P.J. Locke
Last 2 Min. Half,4,3,1,0,0,0,1,0,0,0,0,0.0,0,0,1,P.J. Locke
