Victory Margin,TOT,SOLO,AST,SACK,STF,STFYDS,FF,FR,KB,INT,YDS,AVG,TD,LNG,PD,Player Name
0-7,6,3,3,0,0,0,1,0,0,0,0,0.0,0,0,0,P.J. Locke
8-14,1,0,1,0,0,0,0,0,0,0,0,0.0,0,0,0,P.J. Locke
