Pt Diff,TOT,SOLO,AST,SACK,STF,STFYDS,FF,FR,KB,INT,YDS,AVG,TD,LNG,PD,Player Name
Ahead,1,0,1,0,0,0,0,0,0,0,0,0.0,0,0,0,Mike Purcell
Behind,2,0,2,0,0,0,0,0,0,0,0,0.0,0,0,0,Mike Purcell
