Group,TOT,SOLO,AST,SACK,STF,STFYDS,FF,FR,KB,INT,YDS,AVG,TD,LNG,PD,Player Name
vs AFC,3,0,3,0,0.5,0,0,0,0,0,0,0.0,0,0,0,Mike Purcell
vs NFC,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,Mike Purcell
vs Div,1,0,1,0,0.5,0,0,0,0,0,0,0.0,0,0,0,Mike Purcell
