split,TOT,SOLO,AST,SACK,STF,STFYDS,FF,FR,KB,INT,YDS,AVG,TD,LNG,PD,Player Name
All Splits,3,0,3,0,0.5,0,0,0,0,0,0,0.0,0,0,0,Mike Purcell
Home,1,0,1,0,0.5,0,0,0,0,0,0,0.0,0,0,0,Mike Purcell
Away,2,0,2,0,0,0,0,0,0,0,0,0.0,0,0,0,Mike Purcell
