Opponent,TOT,SOLO,AST,SACK,STF,STFYDS,FF,FR,KB,INT,YDS,AVG,TD,LNG,PD,Player Name
vs MIA,2,0,2,0,0,0,0,0,0,0,0,0.0,0,0,0,Mike Purcell
vs OAK,1,0,1,0,0.5,0,0,0,0,0,0,0.0,0,0,0,Mike Purcell
vs WAS,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,Mike Purcell
