Outcome,TOT,SOLO,AST,SACK,STF,STFYDS,FF,FR,KB,INT,YDS,AVG,TD,LNG,PD,Player Name
Wins/Ties,7,3,4,0,0,0,1,0,0,0,0,0.0,0,0,0,P.J. Locke
Losses,15,8,7,0,1,1,1,0,0,0,0,0.0,0,0,1,P.J. Locke
