Group,TOT,SOLO,AST,SACK,STF,STFYDS,FF,FR,KB,INT,YDS,AVG,TD,LNG,PD,Player Name
vs AFC,11,5,6,0,0,0,1,0,0,0,0,0.0,0,0,1,P.J. Locke
vs NFC,11,6,5,0,1,1,1,0,0,0,0,0.0,0,0,0,P.J. Locke
vs Div,4,1,3,0,0,0,0,0,0,0,0,0.0,0,0,0,P.J. Locke
