split,TOT,SOLO,AST,SACK,STF,STFYDS,FF,FR,KB,INT,YDS,AVG,TD,LNG,PD,Player Name
All Splits,12,7,5,0,1.5,0,0,0,0,0,0,0.0,0,0,1,Alex Singleton
Home,12,7,5,0,1.5,0,0,0,0,0,0,0.0,0,0,1,Alex Singleton
