Field Position,TOT,SOLO,AST,SACK,STF,STFYDS,FF,FR,KB,INT,YDS,AVG,TD,LNG,PD,Player Name
Own 1-20,4,3,1,0,0,0,0,0,0,0,0,0.0,0,0,0,Alex Singleton
Own 21-50,3,1,2,0,0,0,0,0,0,0,0,0.0,0,0,0,Alex Singleton
Opp 49-20,4,3,1,0,0,0,0,0,0,0,0,0.0,0,0,0,Alex Singleton
Opp 19-Goal,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,1,Alex Singleton
