Group,TOT,SOLO,AST,SACK,STF,STFYDS,FF,FR,KB,INT,YDS,AVG,TD,LNG,PD,Player Name
vs AFC,8,4,4,0,1.5,0,0,0,0,0,0,0.0,0,0,1,Alex Singleton
vs NFC,4,3,1,0,0,0,0,0,0,0,0,0.0,0,0,0,Alex Singleton
vs Div,8,4,4,0,1.5,0,0,0,0,0,0,0.0,0,0,1,Alex Singleton
