Opponent,TOT,SOLO,AST,SACK,STF,STFYDS,FF,FR,KB,INT,YDS,AVG,TD,LNG,PD,Player Name
vs HOU,3,3,0,0,0,0,0,0,0,0,0,0.0,0,0,0,Jonas Griffith
vs IND,4,2,2,0,0,0,0,0,0,0,0,0.0,0,0,0,Jonas Griffith
vs JAC,5,1,4,0,0,0,0,0,0,0,0,0.0,0,0,0,Jonas Griffith
vs LAC,11,7,4,0,0,0,0,0,0,0,0,0.0,0,0,0,Jonas Griffith
vs NYJ,6,2,4,0,0,0,0,0,0,0,0,0.0,0,0,0,Jonas Griffith
vs OAK,10,6,4,0,0,0,0,0,0,0,0,0.0,0,0,0,Jonas Griffith
vs SEA,3,3,0,0,0,0,0,0,0,0,0,0.0,0,0,0,Jonas Griffith
vs SF,4,2,2,0,0,0,0,0,0,1,1,1.0,0,1,1,Jonas Griffith
