split,TOT,SOLO,AST,SACK,STF,STFYDS,FF,FR,KB,INT,YDS,AVG,TD,LNG,PD,Player Name
All Splits,46,26,20,0,0,0,0,0,0,1,1,1.0,0,1,1,Jonas Griffith
Home,17,9,8,0,0,0,0,0,0,1,1,1.0,0,1,1,Jonas Griffith
Away,29,17,12,0,0,0,0,0,0,0,0,0.0,0,0,0,Jonas Griffith
