Month,TOT,SOLO,AST,SACK,STF,STFYDS,FF,FR,KB,INT,YDS,AVG,TD,LNG,PD,Player Name
September,10,8,2,0,0,0,0,0,0,1,1,1.0,0,1,1,Jonas Griffith
October,36,18,18,0,0,0,0,0,0,0,0,0.0,0,0,0,Jonas Griffith
