Depth Chart,REC,YDS,AVG,TD,LNG,CAR,YDS,AVG,TD,LNG,FUM,LST,Player Name
As Starter,2,66,33.0,2,50,0,0,0.0,0,0,0,0,Brandon Johnson
As Sub,4,43,10.8,0,21,0,0,0.0,0,0,0,0,Brandon Johnson
