Group,REC,YDS,AVG,TD,LNG,CAR,YDS,AVG,TD,LNG,FUM,LST,Player Name
vs AFC,4,43,10.8,0,21,0,0,0.0,0,0,0,0,Brandon Johnson
vs NFC,2,66,33.0,2,50,0,0,0.0,0,0,0,0,Brandon Johnson
vs Div,2,31,15.5,0,21,0,0,0.0,0,0,0,0,Brandon Johnson
