Opponent,REC,YDS,AVG,TD,LNG,CAR,YDS,AVG,TD,LNG,FUM,LST,Player Name
vs MIA,2,12,6.0,0,8,0,0,0.0,0,0,0,0,Brandon Johnson
vs OAK,2,31,15.5,0,21,0,0,0.0,0,0,0,0,Brandon Johnson
vs WAS,2,66,33.0,2,50,0,0,0.0,0,0,0,0,Brandon Johnson
