Pt Diff,REC,YDS,AVG,TD,LNG,CAR,YDS,AVG,TD,LNG,FUM,LST,Player Name
Ahead,1,16,16.0,1,16,0,0,0.0,0,0,0,0,Brandon Johnson
Behind,5,93,18.6,1,50,0,0,0.0,0,0,0,0,Brandon Johnson
