split,REC,YDS,AVG,TD,LNG,CAR,YDS,AVG,TD,LNG,FUM,LST,Player Name
All Splits,6,109,18.2,2,50,0,0,0.0,0,0,0,0,Brandon Johnson
Home,4,97,24.3,2,50,0,0,0.0,0,0,0,0,Brandon Johnson
Away,2,12,6.0,0,8,0,0,0.0,0,0,0,0,Brandon Johnson
