Down,2,9,4.5,0,6,0,0,0.0,0,0,0,0,Player Name
2nd,1,2,2.0,0,2,0,0,0.0,0,0,0,0,Adam Trautman
Down,REC,YDS,AVG,TD,LNG,CAR,YDS,AVG,TD,LNG,FUM,LST,Adam Trautman
3rd,2,23,11.5,0,15,0,0,0.0,0,0,0,0,Adam Trautman
