Pt Diff,REC,YDS,AVG,TD,LNG,CAR,YDS,AVG,TD,LNG,FUM,LST,Player Name
Ahead,2,5,2.5,0,3,0,0,0.0,0,0,0,0,Adam Trautman
Behind,3,29,9.7,0,15,0,0,0.0,0,0,0,0,Adam Trautman
