Group,REC,YDS,AVG,TD,LNG,CAR,YDS,AVG,TD,LNG,FUM,LST,Player Name
vs AFC,5,34,6.8,0,15,0,0,0.0,0,0,0,0,Adam Trautman
vs NFC,0,0,0.0,0,0,0,0,0.0,0,0,0,0,Adam Trautman
vs Div,5,34,6.8,0,15,0,0,0.0,0,0,0,0,Adam Trautman
