split,REC,YDS,AVG,TD,LNG,CAR,YDS,AVG,TD,LNG,FUM,LST,Player Name
All Splits,5,34,6.8,0,15,0,0,0.0,0,0,0,0,Adam Trautman
Home,5,34,6.8,0,15,0,0,0.0,0,0,0,0,Adam Trautman
Away,0,0,0.0,0,0,0,0,0.0,0,0,0,0,Adam Trautman
