Pt Diff,CMP,ATT,YDS,CMP%,AVG,TD,INT,LNG,SACK,RTG,CAR,YDS,AVG,TD,LNG,Player Name
Ahead,14,21,187,66.7,8.9,2,0,60,3,126.5,1,2,2.0,0,2,Russell Wilson
Behind,49,75,561,65.3,7.5,4,1,50,5,99.9,4,32,8.0,0,15,Russell Wilson
Tied,5,8,43,62.5,5.4,0,1,13,2,37.0,2,23,11.5,0,14,Russell Wilson
