Close,TOT,SOLO,AST,SACK,STF,STFYDS,FF,FR,KB,INT,YDS,AVG,TD,LNG,PD,Player Name
"4th QTR, +/-7",9,6,3,0,0,0,0,0,0,1,1,1.0,0,1,1,Jonas Griffith
Last 2 Min. Half,4,1,3,0,0,0,0,0,0,0,0,0.0,0,0,0,Jonas Griffith
