Surface,TOT,SOLO,AST,SACK,STF,STFYDS,FF,FR,KB,INT,YDS,AVG,TD,LNG,PD,Player Name
Grass,32,16,16,0,0,0,0,0,0,1,1,1.0,0,1,1,Jonas Griffith
Turf,14,10,4,0,0,0,0,0,0,0,0,0.0,0,0,0,Jonas Griffith
