Group,TOT,SOLO,AST,SACK,STF,STFYDS,FF,FR,KB,INT,YDS,AVG,TD,LNG,PD,Player Name
vs AFC,39,21,18,0,0,0,0,0,0,0,0,0.0,0,0,0,Jonas Griffith
vs NFC,7,5,2,0,0,0,0,0,0,1,1,1.0,0,1,1,Jonas Griffith
vs Div,21,13,8,0,0,0,0,0,0,0,0,0.0,0,0,0,Jonas Griffith
