Outcome,TOT,SOLO,AST,SACK,STF,STFYDS,FF,FR,KB,INT,YDS,AVG,TD,LNG,PD,Player Name
Wins/Ties,12,6,6,0,0,0,0,0,0,1,1,1.0,0,1,1,Jonas Griffith
Losses,34,20,14,0,0,0,0,0,0,0,0,0.0,0,0,0,Jonas Griffith
