DAY,TOT,SOLO,AST,SACK,STF,STFYDS,FF,FR,KB,INT,YDS,AVG,TD,LNG,PD,Player Name
Sunday,28,14,14,0,0,0,0,0,0,1,1,1.0,0,1,1,Jonas Griffith
Monday,14,10,4,0,0,0,0,0,0,0,0,0.0,0,0,0,Jonas Griffith
Other,4,2,2,0,0,0,0,0,0,0,0,0.0,0,0,0,Jonas Griffith
