Depth Chart,TOT,SOLO,AST,SACK,STF,STFYDS,FF,FR,KB,INT,YDS,AVG,TD,LNG,PD,Player Name
As Starter,42,24,18,0,0,0,0,0,0,1,1,1.0,0,1,1,Jonas Griffith
As Sub,4,2,2,0,0,0,0,0,0,0,0,0.0,0,0,0,Jonas Griffith
