Month,TOT,SOLO,AST,SACK,STF,STFYDS,FF,FR,KB,INT,YDS,AVG,TD,LNG,PD,Player Name
September,11,7,4,0,0,1,0,0,0,0,0,0.0,0,0,0,K'Waun Williams
October,18,15,3,1,0,0,0,0,0,1,0,0.0,0,1,4,K'Waun Williams
November,1,0,1,0,0,0,0,0,0,0,0,0.0,0,0,1,K'Waun Williams
December,13,7,6,0,0,0,0,0,0,0,0,0.0,0,0,1,K'Waun Williams
January,1,1,0,0,0,0,0,0,0,0,0,0.0,0,0,1,K'Waun Williams
