Group,TOT,SOLO,AST,SACK,STF,STFYDS,FF,FR,KB,INT,YDS,AVG,TD,LNG,PD,Player Name
vs AFC,28,21,7,1,0,1,0,0,0,1,0,0.0,0,1,7,K'Waun Williams
vs NFC,16,9,7,0,0,0,0,0,0,0,0,0.0,0,0,0,K'Waun Williams
vs Div,15,12,3,1,0,0,0,0,0,0,0,0.0,0,0,2,K'Waun Williams
