Depth Chart,TOT,SOLO,AST,SACK,STF,STFYDS,FF,FR,KB,INT,YDS,AVG,TD,LNG,PD,Player Name
As Starter,25,16,9,1,0,0,0,0,0,1,0,0.0,0,1,5,K'Waun Williams
As Sub,19,14,5,0,0,1,0,0,0,0,0,0.0,0,0,2,K'Waun Williams
