DAY,TOT,SOLO,AST,SACK,STF,STFYDS,FF,FR,KB,INT,YDS,AVG,TD,LNG,PD,Player Name
Sunday,32,21,11,1,0,1,0,0,0,1,0,0.0,0,1,6,K'Waun Williams
Monday,7,6,1,0,0,0,0,0,0,0,0,0.0,0,0,0,K'Waun Williams
Other,5,3,2,0,0,0,0,0,0,0,0,0.0,0,0,1,K'Waun Williams
