Pt Diff,REC,YDS,AVG,TD,LNG,CAR,YDS,AVG,TD,LNG,FUM,LST,Player Name
Behind,7,81,11.6,1,21,0,0,0.0,0,0,0,0,Courtland Sutton
Tied,2,17,8.5,0,13,0,0,0.0,0,0,0,0,Courtland Sutton
