Field Position,REC,YDS,AVG,TD,LNG,CAR,YDS,AVG,TD,LNG,FUM,LST,Player Name
Own 1-20,1,12,12.0,0,12,0,0,0.0,0,0,0,0,Courtland Sutton
Own 21-50,3,46,15.3,0,21,0,0,0.0,0,0,0,0,Courtland Sutton
Opp 49-20,3,31,10.3,0,15,0,0,0.0,0,0,0,0,Courtland Sutton
Opp 19-Goal,2,9,4.5,1,5,0,0,0.0,0,0,0,0,Courtland Sutton
