Outcome,TOT,SOLO,AST,SACK,STF,STFYDS,FF,FR,KB,INT,YDS,AVG,TD,LNG,PD,Player Name
Wins/Ties,4,3,1,1.5,0,0,0,0,0,0,0,0.0,0,0,0,Baron Browning
Losses,20,11,9,3.5,5,12,0,0,0,1,-6,-6.0,0,1,2,Baron Browning
