Season Games,TOT,SOLO,AST,SACK,STF,STFYDS,FF,FR,KB,INT,YDS,AVG,TD,LNG,PD,Player Name
1-8,11,7,4,2.5,2,11,0,0,0,1,-6,-6.0,0,1,2,Baron Browning
9-16,13,7,6,2.5,3,1,0,0,0,0,0,0.0,0,0,0,Baron Browning
